City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,udachny,66.4167,112.4,-5.86,44,87,7.27,RU,1683765719
174,cabo san lucas,22.8909,-109.9124,29.23,36,0,2.57,MX,1683765642
175,porto empedocle,37.2934,13.5264,12.95,92,0,3.0,IT,1683765720
176,petukhovo,55.0692,67.9019,6.66,82,81,3.75,RU,1683765720
177,yeed,4.55,43.0333,24.89,70,18,6.95,SO,1683765720
178,hasaki,35.7333,140.8333,18.22,45,48,6.94,JP,1683765720
179,thunder bay,48.4001,-89.3168,14.99,58,20,3.6,CA,1683765721
180,nantong,32.0303,120.8747,19.43,53,100,2.12,CN,1683765721
181,saint-joseph,-21.3667,55.6167,21.37,76,37,5.59,RE,1683765721
182,wailua homesteads,22.0669,-159.378,27.24,69,20,5.14,US,1683765721
183,gorno-altaysk,51.9561,85.955,10.71,85,64,1.43,RU,1683765722
184,prince rupert,54.3161,-130.3201,14.05,61,0,2.57,CA,1683765659
185,ruthin,53.1137,-3.3178,11.8,93,96,2.0,GB,1683765722
186,saipan,15.1355,145.701,30.39,100,40,5.36,MP,1683765722
187,coyhaique,-45.5752,-72.0662,9.34,93,100,0.0,CL,1683765722
188,heroica caborca,30.7167,-112.15,24.87,15,0,6.5,MX,1683765723
189,santander,43.4647,-3.8044,13.59,89,75,3.6,ES,1683765723
190,urucara,-2.5364,-57.76,23.5,98,100,1.56,BR,1683765723
191,richards bay,-28.783,32.0377,18.35,91,0,1.92,ZA,1683765724
192,leninskoye,41.7589,69.3864,19.36,36,100,2.47,KZ,1683765687
193,charlottetown,46.2352,-63.1267,6.98,64,75,5.14,CA,1683765543
194,constitucion,-35.3333,-72.4167,15.16,61,100,4.07,CL,1683765724
195,yinchuan,38.4681,106.2731,17.06,24,100,3.64,CN,1683765725
196,kununurra,-15.7667,128.7333,21.99,30,1,5.14,AU,1683765725
197,teotitlan,18.1319,-97.0767,23.29,72,51,1.54,MX,1683765725
198,san patricio,28.017,-97.5169,27.92,90,56,5.7,US,1683765725
199,buala,-8.145,159.5921,29.27,77,97,4.75,SB,1683765726
200,udangudi,8.4333,78.0167,29.1,77,51,5.63,IN,1683765727
201,renfrew,55.872,-4.3925,10.19,90,75,1.03,GB,1683765727
202,sumenep,-7.0167,113.8667,28.41,82,65,6.24,ID,1683765728
203,bogale,16.2833,95.4,30.89,65,91,4.25,MM,1683765728
204,ouezzane,34.7971,-5.5822,14.82,86,100,1.83,MA,1683765728
205,ingeniero jacobacci,-41.3427,-69.5448,8.21,57,7,1.91,AR,1683765729
206,kievka,50.2619,71.5514,17.05,28,27,5.58,KZ,1683765729
207,tolanaro,-25.0319,46.9987,22.04,94,40,3.09,MG,1683765729
208,kyparissia,37.2511,21.6736,18.15,90,94,0.8,GR,1683765730
209,sinan,34.8262,126.1086,18.06,70,100,2.31,KR,1683765730
210,ust-nera,64.5667,143.2,5.96,65,12,3.24,RU,1683765730
211,broome,42.2506,-75.833,13.44,62,3,1.15,US,1683765730
212,mil'kovo,55.6078,37.7956,10.75,64,98,1.48,RU,1683765731
213,tadine,-21.55,167.8833,24.31,62,100,6.08,NC,1683765731
214,inhambane,-23.865,35.3833,19.77,88,8,1.44,MZ,1683765732
215,jabor,5.921,169.6434,28.45,82,100,7.51,MH,1683765732
216,hirara,24.8,125.2833,24.92,64,75,5.14,JP,1683765554
217,burang,30.25,81.1667,-2.55,65,2,0.13,CN,1683765732
218,vire,48.9167,-0.8333,10.66,98,96,2.75,FR,1683765450
219,santa terezinha,-29.9002,-50.0904,15.21,79,6,3.84,BR,1683765733
220,punta umbria,37.1821,-6.9661,16.43,59,100,9.5,ES,1683765733
221,belle fourche,44.6714,-103.8522,23.51,53,28,3.58,US,1683765733
222,college,64.8569,-147.8028,16.97,33,75,3.09,US,1683765734
223,yuzhno-kurilsk,44.0306,145.8556,4.45,89,88,6.67,RU,1683765734
224,afaahiti,-17.75,-149.2833,27.93,83,100,14.53,PF,1683765459
